SMILES,Title,IC50nM,6Y9S_SP,4WHZ_SP,Weight,LogP,SA,QED,TPSA,HBA,HBD,RotBond,Filtered,3D_best_gsk3b,3D_sim_gsk3b,3D_best_jnk3,3D_sim_jnk3,3D_sim_2D_gsk3b,3D_sim_2D_jnk3
Cl.c1ccc(-n2sc(=NCc3cccnc3)nc2-c2cccc3ccccc23)cc1,CHEMBL2022419,900.0,-7.40228542211921,-6.61344285859838,430.96400000000017,5.671700000000004,2.7714451865843444,0.36826750307754164,43.07,5,0,4,False,CHEMBL2022419,1.0,CHEMBL1761568,0.5589777195281782,1.0,0.14444444444444443
Cc1cc(C)cc(N2CCN(CCCNC(=O)c3nc(-c4cccnc4)no3)CC2)c1,CHEMBL254758,900.0,-6.65529400446435,-6.3577134114146,420.51700000000017,2.6905400000000013,2.394597549756245,0.5881366391063141,87.39,7,1,7,True,CHEMBL254758,1.0,CHEMBL4755895,0.6074380165289256,1.0,0.2
Br.c1ccc(N=c2nc(-c3ccccc3)n(-c3ccccc3)s2)cc1,CHEMBL558982,900.0,-7.70639465353879,-7.53045487104652,410.34000000000003,5.411100000000004,2.4746438599911844,0.4442106483035404,30.18,4,0,3,False,CHEMBL558982,1.0,79831,0.5245685680411013,1.0,0.14084507042253522
Br.c1ccc(-c2nc(=NCCN3CCOCC3)sn2-c2ccccc2)cc1,CHEMBL2022421,900.0,-8.03427908662721,-6.88178450422913,447.4020000000001,3.4116000000000017,2.7674155431427927,0.6023127607576453,42.65,6,0,5,False,CHEMBL2022421,1.0,CHEMBL1761568,0.48456057007125886,1.0,0.12222222222222222
COc1ccc(C=CC(O)=CC(=O)C=Cc2ccc(OCc3ccccc3)cc2)cc1OC,CHEMBL4636722,900.0,-7.49751262619023,-8.91752360400014,442.5110000000002,6.020400000000005,2.3846716526855687,0.23625972891083544,64.99000000000001,5,1,10,True,CHEMBL4636722,1.0,CHEMBL4862656,0.5813043903392979,1.0,0.12
c1ccc(-n2sc(=NCc3cccnc3)nc2-c2cccc3ccccc23)cc1,50932565,900.0,-7.42038419473268,-6.6895531694796,394.5030000000001,5.249900000000004,2.692590120460217,0.4177778049991066,43.07,5,0,4,False,50932565,1.0,CHEMBL1784088,0.5039601719846118,1.0,0.09195402298850575
c1ccc(N=c2nc(-c3ccccc3)n(-c3ccccc3)s2)cc1,50932585,900.0,-7.68749214746571,-7.48792566237563,329.42800000000005,4.833200000000002,2.375134727066941,0.5291415779742348,30.18,4,0,3,False,50932585,1.0,79831,0.5272943037974683,1.0,0.14084507042253522
c1ccc(-c2nc(=NCCN3CCOCC3)sn2-c2ccccc2)cc1,50932563,900.0,-8.15862337608406,-6.70791700672127,366.49,2.833700000000001,2.675737773487329,0.6973348190321969,42.65,6,0,5,False,50932563,1.0,CHEMBL1761568,0.49109276558766024,1.0,0.12222222222222222
Nc1ccc(CCNc2c(F)c(N)c3c(=O)c(C(=O)O)cn(C4CC4)c3c2F)cc1,50664221,900.0,-7.23931970161629,-7.60511121112086,414.41200000000015,3.131800000000002,2.7171087419314386,0.45969353114267697,123.36999999999998,6,4,6,False,50664221,1.0,CHEMBL197698,0.5905407040038708,1.0,0.13793103448275862
COc1cc(F)ccc1-c1ccnc(NC(=O)C2CCCC(NC(C)=O)C2)c1,CHEMBL3673434,903.0,-9.710320178612,-9.38333671453178,385.43900000000025,3.529700000000002,3.0015779674585366,0.8251529629555441,80.32,4,2,5,True,CHEMBL3673434,1.0,CHEMBL203225,0.6003181095205635,1.0,0.410958904109589
Cn1c(N2CCOC(c3ccc(F)cc3)C2)nc(-c2ccnc(Cl)c2)cc1=O,CHEMBL3091535,903.0,-7.28469790299151,-9.04820390395382,400.84100000000007,3.2127000000000017,3.0013438848127905,0.6316875586287197,60.25,6,0,3,False,CHEMBL3091535,1.0,CHEMBL1644625,0.6998844227558751,1.0,0.20238095238095238
Cc1noc(C)c1-c1ccc2[nH]nc(C(=O)NCC3CCN(CC(=O)O)CC3)c2c1,607846,910.0,-9.18694730464695,-8.07820529726138,411.4620000000003,2.36114,2.592662630023259,0.5686132306501023,124.35000000000001,6,3,6,True,607846,1.0,CHEMBL1771722,0.5010952331281944,1.0,0.09803921568627451
CCCCc1c(-c2ccc(OC)cc2)[nH]c2nccnc12,51159499,912.0,-7.73569832328302,-8.42422474839861,281.35900000000004,3.9761000000000015,2.2894037717562554,0.7693442253015638,50.8,3,1,5,True,51159499,1.0,CHEMBL3577865,0.561372110365399,1.0,0.15492957746478872
