SMILES,Title,IC50nM
Fc1cc2CN(CCn3cc(C4=C(C(=O)NC4=O)c4cnc5ccccn45)c(c1)c23)C(=O)N1CCCCC1,50826172,0.7
CCCC1=Nc2[nH]ncc2C(C1c1nnc(C)o1)c1cccc(C#N)c1Br,50855581,0.7
O=C1NC(=O)C(c2cnc3cccnn23)=C1c1cn2c3c(cccc13)CN(C(=O)N1CCCCC1)CC2,CHEMBL181031,0.7079
O=C(N1CCCCC1)N1CCn2cc(C3=C(C(=O)NC3=O)c3cnc4cccnn34)c3cccc(C1)c23,51185465,0.707946
COc1cc(F)ccc1C1CN(c2nc(-c3ccncn3)cc(=O)n2C)CCN1.Cl,CHEMBL4076186,0.72
O=C1NC(=O)C(c2cn(CCC3N=CC=N3)c3ccccc23)=C1c1noc2ccccc12,CHEMBL4084151,0.73
CCCn1cnc(C2C=C(C3=C(c4noc5ccccc45)C(=O)NC3=O)c3ccccc32)c1,CHEMBL4802108,0.73
COCc1cccc2c(C3=C(c4coc5cc(CO)ccc45)C(=O)NC3=O)cn(C)c12,CHEMBL490636,0.73
O=C1NC(=O)C(=C1c1cn(CCC2N=CC=N2)c2ccccc12)c1noc2ccccc12,50821074,0.73
COCc1cccc2c(cn(C)c12)C1=C(C(=O)NC1=O)c1coc2cc(CO)ccc12,50457171,0.73
O=C1NC(=O)C(c2cncc3ccoc23)=C1c1cn2c3c(cccc13)CN(C(=O)N1CCOCC1)CC2,CHEMBL178766,0.7943
O=C(N1CCOCC1)N1CCn2cc(C3=C(C(=O)NC3=O)c3cncc4ccoc34)c3cccc(C1)c23,51185473,0.794328
O=C(Nc1n[nH]c2nc(-c3ccc(O)cc3)c(Br)cc12)C1CC1,CHEMBL260417,0.8
COc1ccccc1N1CCN(c2nc(-c3ccncn3)cc(=O)n2C)[C@H](C)C1,CHEMBL4065818,0.8
CC(C)c1c2cc(-c3ccnc(Nc4ccc5c(N6CCN(C)CC6)ccnc5c4)n3)ccc2nn1C,CHEMBL4856177,0.8
Oc1ccc(cc1)-c1nc2[nH]nc(NC(=O)C3CC3)c2cc1Br,50858439,0.8
O=C(N1CCOCC1)N1CCn2cc(C3=C(C(=O)NC3=O)c3cncc4ccoc34)c3cccc(C1)c23,51159570,0.8
O=C(C1CCOCC1)N1CCn2cc(C3=C(C(=O)NC3=O)c3cnc4ccccn34)c3cccc(C1)c23,51159605,0.8
COc1ccccc1N1CCN([C@H](C)C1)c1nc(cc(=O)n1C)-c1ccncn1,50891701,0.8
[O-][N+](=O)c1ccc2[nH]c-3c(CC(=O)Nc4ccc(CCC#N)cc-34)c2c1,169538,0.8
CC(C)c1n(C)nc2ccc(cc12)-c1ccnc(Nc2ccc3c(ccnc3c2)N2CCN(C)CC2)n1,51420894,0.8
CC(C)Oc1nc(-c2ccnc(NC(=O)C3CC3)c2)ncc1C(N)=O,CHEMBL3410111,0.83
CC(C)Oc1nc(ncc1C(N)=O)-c1ccnc(NC(=O)C2CC2)c1,50315973,0.83
C[C@H]1COc2c(NCCCn3cccn3)c(F)c(N)c3c(=O)c(C#N)cn1c23,CHEMBL1940981,0.86
C[C@H]1COc2c(NCCCn3cccn3)c(F)c(N)c3c2n1cc(C#N)c3=O,50713726,0.86
COc1ccccc1[C@H]1CN(c2nc(-c3ccncn3)cc(=O)n2C)CCO1,CHEMBL3091540,0.87
Cn1cc(C2=C(c3cnc4ccccn34)C(=O)NC2=O)c2cc(Br)ccc21,CHEMBL2386272,0.87
Cn1cc(C2=C(C(=O)NC2=O)c2cnc3ccccn23)c2cc(Br)ccc12,51194955,0.87
COc1cc(F)ccc1C1CN(c2nc(-c3ccncc3)cc(=O)n2C)CCN1.Cl,CHEMBL4087402,0.9
O=C1NC(=O)C(c2cnc3ccccn23)=C1c1cn2c3c(cc(F)cc13)CN(C(=O)N1CCCCC1)CC2,CHEMBL362558,0.9
CC(=O)N1CCn2cc(C3=C(C(=O)NC3=O)c3cncc4ccoc34)c3cccc(C1)c23,51159591,0.9
Fc1cc2CN(CCn3cc(C4=C(C(=O)NC4=O)c4cnc5ccccn45)c(c1)c23)C(=O)N1CCCCC1,51243380,0.9
Fc1cc2CN(CCn3cc(C4=C(C(=O)NC4=O)c4cnc5ccccn45)c(c1)c23)C(=O)N1CCCCC1,50340582,0.9
Cn1cc(C2=C(c3coc4cc(CO)ccc34)C(=O)NC2=O)c2cc(F)c(Cl)cc21,CHEMBL522590,0.95
Cn1cc(C2=C(C(=O)NC2=O)c2coc3cc(CO)ccc23)c2cc(F)c(Cl)cc12,50457144,0.95
CS(=O)(=O)Nc1ccc(CCNC(=O)c2ccc(O)c3[nH]c(-c4ccc(F)cc4)nc23)cc1,CHEMBL1957949,1
O=C(Nc1n[nH]c2nc(-c3ccc(O)cc3)c(Cl)cc12)C1CC1,CHEMBL260664,1
Nc1ncc(-c2ccccc2)nc1C(=O)Nc1ccccc1N1CCC(N)CC1,CHEMBL3943813,1
Cn1cc(C2=C(c3cccc(NCCCO)c3)C(=O)NC2=O)c2ccccc21,CHEMBL1082151,1
C[C@H]1COc2c(NCCCn3ccnc3)c(F)c(N)c3c(=O)c(C#N)cn1c23,CHEMBL1940986,1
