SMILES,Title,IC50 (RORg-GAL4),IC50 (DHODH-DCIP),5NTP_XP,6QU7_XP,Weight,LogP,SA,QED,TPSA,HBA,HBD,RotBond,Filtered,3D_best_rorgt,3D_sim_rorgt,3D_best_dhodh,3D_sim_dhodh,3D_sim_2D_rorgt,3D_sim_2D_dhodh,sim2d_dhodh,sim2d_dhodh_match,sim2d_rorgt,sim2d_rorgt_match,best_3d_sim_rorgt,best_2d_sim_rorgt,best_3d_2d_sim_rorgt,best_3d_match_rorgt,best_2d_match_rorgt,best_3d_2d_match_rorgt,best_3d_sim_dhodh,best_2d_sim_dhodh,best_3d_2d_sim_dhodh,best_3d_match_dhodh,best_2d_match_dhodh,best_3d_2d_match_dhodh
CC1=C(CN2CCN(C(C3CCCC3)=O)CC2)C=CC=C1NC4=NC5=C(C=NC=C5)S4,10b,,,-11.6257848211609,-8.02023420737476,435.59700000000004,4.577720000000004,2.465732951277799,0.6357245231805844,61.36,6,1,5,True,51392921,0.6650413398346406,993101,0.5916809116809116,0.3295454545454545,0.1958762886597938,0.2666666666666666,1045616,0.3522727272727273,51251226,0.6650413398346406,0.3522727272727273,0.22168044661154687,51392921,51392922,51392921,0.5916809116809116,0.26666666666666666,0.12457826885320895,993101,1045616,1100171
CC1=C(CN2CCN(C(C3CCCC3)=O)CC2)C=CC=C1NC4=NC5=C(C=CN=C5)S4,10c,,,-11.4834475089133,-7.57212650058551,435.59700000000004,4.577720000000004,2.4659170594772917,0.6357245231805844,61.36,6,1,5,True,51392921,0.6253352589230452,993101,0.599472537553033,0.3295454545454545,0.1836734693877551,0.2666666666666666,1045616,0.3522727272727273,51251226,0.6253352589230452,0.3522727272727273,0.20844508630768172,51392921,51392922,51392921,0.599472537553033,0.26666666666666666,0.12569060773480661,993101,1045616,1100171
CC1=C(CN2CCN(C(C3CCCC3)=O)CC2)C=CC=C1NC4=NC5=C(C=CC=N5)S4,10d,1.74+-0.09,1.41+-0.93,-11.3668809215408,-6.43275694231829,435.59700000000004,4.577720000000004,2.4832856139996924,0.6357245231805844,61.36,6,1,5,True,51392921,0.7208438080664554,50319904,0.5876471895134414,0.3448275862068966,0.1237113402061855,0.2666666666666666,1045616,0.3837209302325581,51251226,0.7208438080664554,0.38372093023255816,0.25145714234876354,51392921,51251226,51392921,0.5876471895134414,0.26666666666666666,0.12770544366702988,50319904,1045616,51334959
CC1=C(CN2CCN(C(C3CCCC3)=O)CC2)C=CC=C1NC4=NC5=C(N=CC=N5)S4,10e,3.48+-0.35,4.68+-1.25,-11.1399337846792,-7.44297181635363,436.58500000000004,3.9727200000000025,2.630138530314147,0.6523103534646445,74.25,7,1,5,True,51392921,0.6175651994639728,297787,0.5255014326647565,0.3529411764705882,0.1683168316831683,0.2727272727272727,1045616,0.3764705882352941,51251226,0.6175651994639728,0.3764705882352941,0.22055899980856172,51392921,51251226,51392921,0.5255014326647565,0.2727272727272727,0.11279445491205783,297787,1045616,1045616
CC1=C(CN2CCN(C(C3CCCC3)=O)CC2)C=CC=C1NC4=NC5=C(CCC5)S4,11a,1.02+-0.06,6.08+-1.59,-11.3292799620714,-7.99301400854284,424.61400000000015,4.518220000000004,2.4508862705004297,0.7667522710155387,48.47,5,1,5,True,51392921,0.6754603208786476,297809,0.6090373280943026,0.3529411764705882,0.1212121212121212,0.2727272727272727,1045616,0.3928571428571428,51392922,0.6754603208786476,0.39285714285714285,0.2412358288852313,51392921,51392922,51392921,0.6090373280943026,0.2727272727272727,0.14071403936228208,297809,1045616,1045601
O=C(C1CCCC1)N(CC2)CCN2CC3=C(C)C(NC(S4)=NC5=C4CCCC5)=CC=C3,11b,1.67+-0.29,1.02+-0.26,-11.7647221285626,-7.22738216483773,438.6410000000002,4.908320000000004,2.4697133401197267,0.7206931749501962,48.470000000000006,5,1,5,True,51392921,0.7144398877617095,297813,0.5551961602671118,0.3529411764705882,0.1789473684210526,0.2727272727272727,1045616,0.3928571428571428,51392922,0.7144398877617095,0.39285714285714285,0.2551571027720391,51392921,51392922,51392921,0.5551961602671118,0.2727272727272727,0.12973153752999422,297813,1020547,1020396
CC1=C(CN2CCN(C(C3CCCC3)=O)CC2)C=CC=C1NC4=NC5=C(CCCCC5)S4,11c,6.22+-0.22,1.15+-0.24,-11.4468839552708,-6.89881186188164,452.66800000000023,5.2984200000000055,2.484186946978589,0.6257086433845717,48.47,5,1,5,True,51392921,0.5999007936507936,297791,0.6111680327868853,0.3488372093023256,0.2,0.2840909090909091,1045616,0.388235294117647,51392922,0.5999007936507936,0.38823529411764707,0.2117296918767507,51392921,51392922,51392921,0.6111680327868853,0.2840909090909091,0.14000147922742062,297791,1045616,1045601
CC1=C(CN2CCN(C(C3CCCC3)=O)CC2)C=CC=C1NC4=NC5=C(COCC5)S4,11d,0.101+-0.028,,-11.4048484674119,-6.49600831274369,440.61300000000017,4.1022200000000035,2.665307761083378,0.7585544205214649,57.7,6,1,5,True,51392921,0.6663140076174354,297791,0.5689020650173788,0.3409090909090909,0.1836734693877551,0.2647058823529412,1020547,0.3793103448275862,51392922,0.6663140076174354,0.3793103448275862,0.22976345090256395,51392921,51392922,51392921,0.5689020650173788,0.2647058823529412,0.1265398089774701,297791,1020547,1100171
O=C1CCCC2=C1SC(NC3=CC=CC(CN4CCN(C(C5CCCC5)=O)CC4)=C3C)=N2,12a,0.250+-0.007,2.15+-0.26,-11.9098925306457,-8.12074060119039,452.6240000000005,4.5485200000000034,2.578808888797923,0.72106465188341,65.54,6,1,5,True,51392921,0.6654522743832623,50319906,0.5715943864092012,0.3409090909090909,0.1212121212121212,0.2637362637362637,1045616,0.3636363636363636,51392922,0.6654522743832623,0.36363636363636365,0.22946630151146977,51392921,51392922,51392921,0.5715943864092012,0.26373626373626374,0.11171561112947988,50319906,1045616,1100171
CC1=C(CN2CCN(C(C3CCCC3)=O)CC2)C=CC=C1NC4=NC5=C(CCCC5=O)S4,12b,2.87+-0.12,0.363+-0.073,-11.7419231572847,-7.20621105227305,452.6240000000002,4.5485200000000034,2.563119558773108,0.7210646518834104,65.53999999999999,6,1,5,True,51392921,0.6249364901940859,297787,0.6051125148045795,0.3409090909090909,0.174757281553398,0.2873563218390804,50312258,0.3793103448275862,51392922,0.6249364901940859,0.3793103448275862,0.21549534144623653,51392921,51392922,51392921,0.6051125148045795,0.28735632183908044,0.12412067366385385,297787,50312258,1045601
CC1=C(CN2CCN(C(C3CCCC3)=O)CC2)C=CC=C1NC4=NC5=C(CCC/C5=N\O)S4,12c,0.419+-0.075,20.3+-4.8,-12.6050907031987,-7.3631661313947,467.6390000000002,4.544120000000004,2.7693174877058127,0.49828794529465115,81.06,7,2,5,True,51392921,0.6551513298685417,50319904,0.5528831005146518,0.3333333333333333,0.1428571428571428,0.2808988764044944,50312258,0.3707865168539326,51251226,0.6551513298685417,0.3707865168539326,0.22083752692198036,51392921,51392922,51392921,0.5528831005146518,0.2808988764044944,0.11678746234939759,50319904,50312258,1100171
CC1=C(CN2CCN(C(C3CCCC3)=O)CC2)C=CC=C1NC4=NC5=C(CCC/C5=N\OC)S4,12d,1.33+-0.07,,-11.3734212334338,-5.25923345696103,481.6660000000002,4.716320000000004,2.8096817917237153,0.6050051765762601,70.06,7,1,6,True,51392921,0.652295688706612,1100171,0.6335855360125774,0.3225806451612903,0.203883495145631,0.3,50312258,0.358695652173913,51251226,0.652295688706612,0.358695652173913,0.2127051158825909,51392921,51392922,51392921,0.6335855360125774,0.3,0.1502316219411266,1100171,50312258,1100171
OC1CCCC2=C1SC(NC3=CC=CC(CN4CCN(C(C5CCCC5)=O)CC4)=C3C)=N2,12e,0.181+-0.026,13.9+-1.6,-13.1847107253878,-7.89259773272757,454.64000000000044,4.399220000000003,3.0983521582284475,0.7009145763461323,68.7,6,2,5,True,51392921,0.5919682697074864,1100171,0.5989098116947473,0.3409090909090909,0.21875,0.2637362637362637,1045616,0.3636363636363636,51392922,0.5919682697074864,0.36363636363636365,0.20412698955430567,51392921,51392922,51392921,0.5989098116947473,0.26373626373626374,0.13379900048499674,1100171,1045616,1100171
OC1C2=C(SC(NC3=CC=CC(CN4CCN(C(C5CCCC5)=O)CC4)=C3C)=N2)CCC1,12f,0.684+-0.171,0.573+-0.222,-11.8241119950796,-7.68181329947812,454.6400000000005,4.399220000000003,3.0609094783277015,0.7009145763461323,68.7,6,2,5,True,51392921,0.701992369648156,50319904,0.5630288101103138,0.3258426966292135,0.134020618556701,0.264367816091954,50312275,0.3636363636363636,51392922,0.701992369648156,0.36363636363636365,0.2313383945431423,51392921,51392922,51392921,0.5630288101103138,0.26436781609195403,0.129446139780828,50319904,50312275,1100171
CC1=C(CN2CCN(C(C3CCCC3)=O)CC2)C=CC=C1NC4=NC5=C(CCCC5OC)S4,12g,0.789+-0.046,9.32+-1.97,-12.0415446033888,-7.5971927546465,468.6670000000002,5.053320000000005,3.165406616317478,0.6426795528151874,57.7,6,1,6,True,51392921,0.6669381936666328,297787,0.5916411042944785,0.3152173913043478,0.1698113207547169,0.2696629213483146,50312275,0.3666666666666666,51392922,0.6669381936666328,0.36666666666666664,0.2125407430366192,51392921,51392922,51392921,0.5916411042944785,0.2696629213483146,0.11889589276402565,297787,50312275,1045601
O=C(C1CCCC1)N(CC2)CCN2CC3=CC(NC4=NC5=CC=CC=C5S4)=CC=C3,13a,,,-10.3156425546879,-8.49810846026417,420.5820000000001,4.874300000000004,2.132676798511742,0.639449430698186,48.470000000000006,5,1,5,True,51122282,0.5585345886205485,1045594,0.570423970648186,0.1797752808988764,0.2906976744186046,0.352112676056338,50971946,0.3375,51139271,0.5585345886205485,0.3375,0.17646095387840668,51122282,51139271,820636,0.570423970648186,0.352112676056338,0.1751168084775268,1045594,50971946,1100171
O=C(C1CCCC1)N(CC2)CCN2CC3=CC(NC4=NC5=CC=CC=C5S4)=CC=C3C,13b,,,-10.986038212712,-8.36592639162294,434.60900000000015,5.182720000000005,2.2337611845829546,0.6008820339372446,48.470000000000006,5,1,5,True,51392921,0.6277319587628867,1100171,0.5707205867776787,0.3068181818181818,0.2391304347826087,0.3717948717948718,50312275,0.3580246913580246,51139271,0.6277319587628867,0.35802469135802467,0.19481336651262002,51392921,51139271,51392921,0.5707205867776787,0.3717948717948718,0.14303923693908518,1100171,50312275,50971946
