SMILES,Title,IC50nM,5NTP_XP,6QU7_XP,Weight,LogP,SA,QED,TPSA,HBA,HBD,RotBond,Filtered,3D_best_rorgt,3D_sim_rorgt,3D_best_dhodh,3D_sim_dhodh,3D_sim_2D_rorgt,3D_sim_2D_dhodh
O=C(O)C1CCC(O)(C(=O)NC2CCC3(S(=O)(=O)c4ccc(F)cc4)c4ccc(C(F)(C(F)(F)F)C(F)(F)F)cc4CCC23)CC1,826931,54.0,-13.5082643168035,-6.9877610227755,683.614,5.631200000000004,4.492352842611932,0.2683500422976993,120.76999999999998,5,3,6,False,826931,1.0,51370190,0.41041749502982106,1.0,0.16842105263157894
CCC(O)Cn1ccc(CC2CCc3cc(C(O)(C(F)(F)F)C(F)(F)F)ccc3N2S(=O)(=O)c2ccc(F)cc2)n1,648743,54.0,-11.0008000376268,-9.21903251920133,609.564,4.858100000000005,3.905074639606516,0.3561613973202455,95.66000000000001,6,2,8,False,648743,1.0,1020563,0.6060503059143441,1.0,0.17796610169491525
Cc1cccc(C(=O)n2nc(-c3ccc(C(=O)O)cc3F)c3ccccc32)c1Br,651474,54.0,-9.94897154592693,-10.29343077274,453.2670000000001,5.300020000000003,2.453863212119515,0.4571737216220322,72.19,4,1,3,True,651474,1.0,993093,0.6649307760701131,1.0,0.16666666666666666
O=C(Cc1cccnc1)NC1CCC(c2ccc(C(F)(C(F)(F)F)C(F)(F)F)cc2)(S(=O)(=O)c2ccc(F)cc2)C1,675680,54.0,-13.0744933690135,-6.71325057820903,606.5350000000001,6.090700000000004,3.7898156442100204,0.26105938775929094,76.13,4,1,7,False,675680,1.0,1001119,0.3810475115087293,1.0,0.14
CC(=O)N1CCN(C2CC(c3ccc(C(OCc4c(F)cccc4F)(C(F)(F)F)C(F)(F)F)cc3)(S(=O)(=O)c3ccc(F)cc3)C2)CC1,675621,54.0,-9.48750626043949,-5.03673038630173,708.6429999999998,6.6363000000000065,3.4116939185065247,0.1942255789051143,66.92,5,0,8,False,675621,1.0,51370189,0.4547628537265843,1.0,0.1595744680851064
O=C1CCCN1C1CCC(c2ccc(C(OCc3c(F)cccc3F)(C(F)(F)F)C(F)(F)F)cc2)(S(=O)(=O)c2ccc(F)cc2)C1,675552,54.0,-10.8211268688149,-8.58206737762952,679.601,7.484700000000006,4.1183573958937405,0.18305861360005918,63.68,4,0,8,False,675552,1.0,50312490,0.3629051525045791,1.0,0.0673076923076923
CC(=O)N1CCN(C(=O)N2CCC(c3ccc(C(OCC4CCOCC4)(C(F)(F)F)C(F)(F)F)cc3)(S(=O)(=O)c3ccc(F)cc3)C2)CC1,CHEMBL3919681,54.0,-11.2810370931655,-5.44619621147563,723.7080000000001,5.247800000000006,3.929798726411404,0.2864870362892975,96.46000000000001,6,0,7,False,CHEMBL3919681,1.0,1020521,0.3576355314897183,1.0,0.17796610169491525
O=C(O)C1CCC(C(=O)N2CCC(c3ccc(C(OCc4c(F)cccc4Cl)(C(F)(F)F)C(F)(F)F)cc3)(S(=O)(=O)c3ccc(F)cc3)C2)CC1,CHEMBL3944677,54.0,-12.7407811328012,-7.12037375681915,768.119,7.947400000000006,3.9206999431733554,0.17539750577791863,100.97999999999999,5,1,9,False,CHEMBL3944677,1.0,1020504,0.31383728771994357,1.0,0.15966386554621848
CCC1(C(=O)N2CCC(c3ccc(C(F)(C(F)(F)F)C(F)(F)F)cc3)(S(=O)(=O)c3ccc(F)cc3)C2)CCS(=O)(=O)CC1,CHEMBL3937232,54.0,-10.4392216642776,-6.57640053004813,661.6329999999998,5.621600000000006,3.9513850343667087,0.2964278601179887,88.59,5,0,6,False,CHEMBL3937232,1.0,297802,0.4145282875199878,1.0,0.15151515151515152
O=C(Cc1ccncc1)N1CCC(c2ccc(C(O)(C(F)(F)F)C(F)(F)F)cc2)(S(=O)(=O)c2ccc(F)cc2)C1,CHEMBL3983591,54.0,-12.266398736824,-6.32403253534817,590.517,4.677100000000004,3.4804618808182717,0.3331111466470514,87.57,5,1,6,False,CHEMBL3983591,1.0,297802,0.3942748695239602,1.0,0.14432989690721648
