SMILES,Title,IC50nM
CCC(=O)Nc1cccc(C(=O)Nc2ccc(Nc3cc(-c4[nH]c(SC)nc4-c4ccc(F)cc4)ccn3)cc2)c1,CHEMBL4069805,2
N#Cc1ccc2c(ccc(=O)n2CC(=O)Nc2scc(Br)c2-c2ncn[nH]2)c1,CHEMBL1822151,2
C=CC(=O)Nc1cccc(C(=O)Nc2ccc(Nc3cc(-c4c(-c5ccc(F)cc5)nc(SC)n4C)ccn3)c(C)c2)c1,CHEMBL4092555,2
CNC(=O)c1cc(-n2ncc3cc(Nc4c(F)cccc4Cl)ncc32)cs1,CHEMBL4877727,2
CNC(=O)c1cc(-n2ncc3cc(Nc4c(F)cccc4Cl)cnc32)cs1,CHEMBL4857979,2
N#Cc1ccc2ccc(=O)n(CC(=O)Nc3scc(Br)c3-c3ncn[nH]3)c2c1,CHEMBL1822152,2
CCCn1c(C2CCNCC2)nc(-c2ccc(Cl)c(Cl)c2)c1-c1ccnc(NC2CCCCC2)n1,CHEMBL437747,2
CNC(=O)c1cc(-n2ncc3cc(Nc4c(F)cccc4Cl)c(F)cc32)cs1,CHEMBL4874573,2
O=C(N[C@H]1CCOC1)c1cc(-n2ncc3cc(Nc4ccccc4Cl)c(F)cc32)cs1,CHEMBL4874575,2
CC(C)NC(=O)c1cc(-n2ncc3cc(Nc4ccccc4Cl)c(F)cc32)cs1,CHEMBL4865870,2
O=C(NC1CCOCC1)c1cc(-n2ncc3cc(Nc4ccccc4Cl)c(F)cc32)cs1,CHEMBL4867426,2
CCCn1c(nc(c1-c1ccnc(NC2CCCCC2)n1)-c1ccc(Cl)c(Cl)c1)C1CCNCC1,50363204,2
CNC(=O)c1cc(cs1)-n1ncc2cc(Nc3c(F)cccc3Cl)cnc12,51429796,2
CNC(=O)c1cc(cs1)-n1ncc2cc(Nc3c(F)cccc3Cl)ncc12,51429795,2
Brc1csc(NC(=O)Cn2c3ccc(cc3ccc2=O)C#N)c1-c1nnc[nH]1,50659455,2
Brc1csc(NC(=O)Cn2c3cc(ccc3ccc2=O)C#N)c1-c1nnc[nH]1,50659456,2
CSc1nc(c(-c2ccnc(Nc3ccc(NC(=O)c4cccc(NC(=O)C=C)c4C)cc3)c2)n1C)-c1ccc(F)cc1,50715708,2
