SMILES,Title,IC50nM
Cc1nc2c(cc(cc2[nH]1)-c1c(F)c(F)c(-c2ccc(CN3CCCC(F)(F)C3)cc2)c(F)c1F)C(O)=O,51390144,1
Cc1nc2c(cc(cc2[nH]1)-c1c(F)c(F)c(-c2ccccc2)c(F)c1F)C(O)=O,51390143,1
Cc1nc2c(cc(cc2[nH]1)-c1ccc(cc1)-c1ccccc1CN1CCCC1)C(O)=O,51390142,1
Cc1nc2c(cc(cc2[nH]1)-c1ccc(cc1)-c1cccc(C)c1)C(O)=O,51390141,1
CCCn1c(nn(-c2cc(O[C@@H](C)C(F)(F)F)c(cc2F)C(=O)Nc2c(F)cccc2Cl)c1=O)C(O)=O,972683,1
C[C@H](Oc1cc(c(F)cc1C(=O)Nc1ccccc1C)-n1nc2CCCCn2c1=O)C(F)(F)F,1020452,1
C[C@H](Oc1cc(c(F)cc1C(=O)Nc1ccccc1C)-n1nc2CCCCn2c1=O)c1ccccc1,1020626,1
CC(C)c1cc(c(C)cc1Oc1ccccc1)-c1cc(C(O)=O)c2cc(F)ccc2n1,51064004,1
CCC[C@H](C)Oc1cc(c(F)cc1C(=O)Nc1c(C)cccc1F)-n1nc(CC)n(C)c1=O,972464,1
CCC[C@H](C)Oc1cc(c(F)cc1C(=O)Nc1c(C)cccc1F)-n1nc(CC)n(C)c1=O,1098618,1
CCCn1c(nn(-c2cc(O[C@@H](C)C(F)(F)F)c(cc2F)C(=O)Nc2c(F)cccc2Cl)c1=O)C(O)=O,1098837,1
Cc1cc(Oc2ccccc2)c(C(C)C)cc1-c1cc(C(=O)O)c2cc(F)ccc2n1,CHEMBL2385512,1
COc1ccccc1-c1c(F)c(F)c(NC(=O)c2ccsc2C(=O)O)c(F)c1F,CHEMBL199361,1
Cc1nc2c(C(=O)O)cc(-c3ccc(-n4c(C)ccc4C)cc3)cc2[nH]1,CHEMBL4760820,1
Cc1cccc(-c2ccc(-c3cc(C(=O)O)c4nc(C)[nH]c4c3)cc2)c1,CHEMBL4798243,1
Cc1nc2c(C(=O)O)cc(-c3c(F)c(F)c(-c4ccccc4)c(F)c3F)cc2[nH]1,CHEMBL4793981,1
Cc1nc2c(C(=O)O)cc(-c3c(F)c(F)c(-c4ccc(CN5CCCC(F)(F)C5)cc4)c(F)c3F)cc2[nH]1,CHEMBL4743372,1
