SMILES,Title,IC50nM
NCCO.O=C(O)c1[nH]c(=O)[nH]c(=O)c1CCc1ccc(-c2ccccc2)cc1,50555327,0.97
CCCC(C)Oc1cc(-n2nc3n(c2=O)CCCC3)c(F)cc1C(=O)Nc1c(F)cccc1Cl,1020381,1.0
Cc1nc2c(C(=O)O)cc(-c3ccc(-n4c(C)ccc4C)cc3)cc2[nH]1,51390146,1.0
Cc1nc2c(C(=O)O)cc(-c3c(F)c(F)c(-c4ccc(CN5CCCC(F)(F)C5)cc4)c(F)c3F)cc2[nH]1,51390144,1.0
Cc1nc2c(C(=O)O)cc(-c3c(F)c(F)c(-c4ccccc4)c(F)c3F)cc2[nH]1,51390143,1.0
Cc1nc2c(C(=O)O)cc(-c3ccc(-c4ccccc4CN4CCCC4)cc3)cc2[nH]1,51390142,1.0
Cc1cccc(-c2ccc(-c3cc(C(=O)O)c4nc(C)[nH]c4c3)cc2)c1,51390141,1.0
CCCn1c(C(=O)O)nn(-c2cc(OC(C)C(F)(F)F)c(C(=O)Nc3c(F)cccc3Cl)cc2F)c1=O,972683,1.0
Cc1ccccc1NC(=O)c1cc(F)c(-n2nc3n(c2=O)CCCC3)cc1OC(C)C(F)(F)F,1020452,1.0
Cc1ccccc1NC(=O)c1cc(F)c(-n2nc3n(c2=O)CCCC3)cc1OC(C)c1ccccc1,1020626,1.0
Cc1cc(Oc2ccccc2)c(C(C)C)cc1-c1cc(C(=O)O)c2cc(F)ccc2n1,51064004,1.0
CCCC(C)Oc1cc(-n2nc(CC)n(C)c2=O)c(F)cc1C(=O)Nc1c(C)cccc1F,972464,1.0
COc1ccccc1-c1c(F)c(F)c(NC(=O)c2ccsc2C(=O)O)c(F)c1F,CHEMBL199361,1.0
C=C(C)c1cn(-c2ccccc2C)c(=O)c2cc(F)c(-n3nc(CO)n(CC)c3=O)nc12,1226021,1.01
CCn1c(CO)nn(-c2cc3c(C(C)C)cn(-c4nc(OC)ccc4Cl)c(=O)c3cc2F)c1=O,1226038,1.09
CCn1c(CO)nn(-c2nc3c(C(C)C)cn(-c4ccccc4C(F)F)c(=O)c3cc2F)c1=O,1226127,1.13
C=C(C)c1cn(-c2c(F)cccc2Cl)c(=O)c2cc(F)c(-n3nc(CO)n(CC)c3=O)nc12,1226024,1.15
CCn1c(CO)nn(-c2cc3c(C(C)C(F)(F)F)nn(-c4ccccc4C)c(=O)c3cc2F)c1=O,1226046,1.15
C=C(C)c1cn(-c2cccc(F)c2C)c(=O)c2cc(F)c(-n3nc(CO)n(CC)c3=O)cc12,1226075,1.19
COc1cc(-n2cc(C(C)C)c3cc(-c4nc(C(C)(C)O)n(C)n4)c(F)cc3c2=O)c(C)cn1,1121388,1.2
COc1cc(-n2cc(C(C)C)c3cc(-c4cn(C)c(C(C)(C)O)n4)c(F)cc3c2=O)c(C)cn1,1121387,1.2
Cc1ccccc1-n1cc(C(C)C)c2cc(-c3cn(C)c(CO)n3)c(F)cc2c1=O,1121370,1.2
CCCC(C)Oc1cc(-n2nc3ccccn3c2=O)c(F)cc1C(=O)Nc1cccc(C(F)(F)F)c1,1020610,1.2
O=C(Nc1c(F)c(F)c(-c2ccccc2)c(F)c1F)c1c(O)nn2ccccc12,50990483,1.2
Cc1ccccc1-n1ncc2c1CCCC2NC(=O)c1noc2c1CCCC2,51334975,1.2
O=C1c2ccccc2C(=O)c2c1nnn2-c1cc(F)c(-c2cc(CO)ccc2F)c(F)c1,51338206,1.2
O=C1c2ccccc2C(=O)c2c1nnn2-c1cc(F)c(-c2cccc(CO)c2)c(F)c1,51338202,1.2
C=C(C)c1cn(-c2cc(OC)ccc2Cl)c(=O)c2cc(F)c(-n3nc(CO)n(CC)c3=O)cc12,1226036,1.21
CCc1ccccc1-n1cc(C(C)C)c2cc(-n3nc(CO)n(CC)c3=O)c(F)cc2c1=O,1226078,1.21
C=C(C)c1cn(-c2c(F)cccc2Cl)c(=O)c2ccc(-n3nc(CO)n(CC)c3=O)cc12,1225994,1.29
CCn1c(CO)nn(-c2cc3c(C(C)C)cn(C4CCCC4C)c(=O)c3cc2F)c1=O,1226115,1.32
CCn1c(CO)nn(-c2cc3c(C(C)C)cc(-c4ccccc4C)c(=O)n3cc2F)c1=O,1121399,1.33
Cc1c(-c2ccc(-c3ccccc3F)cc2)nc2ccc(F)cc2c1C(=O)NO,51370197,1.4
Cc1ccc(Cl)c(-n2cc(C(C)C)c3cc(-c4cn(C)c(C(C)(C)O)n4)c(F)cc3c2=O)n1,1121389,1.4
C=C(C)c1cn(-c2ccccc2Cl)c(=O)c2cc(F)c(-n3nc(CO)n(CC)c3=O)cc12,1226034,1.41
CCn1c(C(=O)O)nn(-c2cc(OC(C)C(F)(F)F)c(C(=O)Nc3c(Cl)cccc3Cl)cc2F)c1=O,972677,1.5
CCn1c(C(=O)O)nn(-c2cc(OC(C)C(F)(F)F)c(C(=O)Nc3c(F)cccc3Cl)cc2F)c1=O,972674,1.5
O=C(Nc1c(F)c(F)c(-c2cccc(OC(F)(F)F)c2)c(F)c1F)c1ccsc1C(=O)O,51292545,1.5
C=C(C)c1cn(-c2ccc(F)cc2C)c(=O)c2cc(F)c(-n3nc(CO)n(CC)c3=O)cc12,1226065,1.5
CCCC(C)Oc1cc(-n2nc3n(c2=O)CCCC3)c(F)cc1C(=O)Nc1ccccc1NC,1020401,1.5
COCc1cccc(-c2c(F)cc(-n3nnc4c3C(=O)c3ccccc3C4=O)cc2F)c1,51338203,1.6
C=C(C)c1cn(-c2cccc(OCCO)c2Cl)c(=O)c2cc(F)c(-n3nc(CO)n(CC)c3=O)cc12,1226054,1.65
CCn1c(CO)nn(-c2ccc3c(=O)n(-c4c(F)cccc4Cl)cc(C4(C)CC4)c3c2)c1=O,1226013,1.65
CCn1c(CO)nn(-c2cc3c(C(C)C)cn(C4CCCCC4C)c(=O)c3cc2F)c1=O,1226109,1.68
C=C(C)c1cn(-c2cc(C)ccc2F)c(=O)c2cc(F)c(-n3nc(CO)n(CC)c3=O)cc12,1226031,1.69
CCCC(C)Oc1cc(-n2nc3n(c2=O)CCCC3)c(F)cc1C(=O)Nc1ccc(N)cc1C,1020404,1.7
CC(=O)c1nc(-c2cc3c(C(C)C)cn(-c4ccccc4C)c(=O)c3cc2F)nn1C,1121368,1.7
CN(N=Cc1ccc(F)cc1C(=O)O)c1nc(-c2ccccc2Cl)cs1,1001119,1.8
C=CCC(C)Oc1cc(-n2nc(CC)n(C)c2=O)c(F)cc1C(=O)NC(CC)CC,1098788,1.8
CCn1c(CO)nn(-c2cc3c(C(C)C)cn(-c4ccccc4F)c(=O)c3cc2F)c1=O,1226066,1.86
C=C(c1cn(-c2c(F)cccc2Cl)c(=O)c2ccc(-n3nc(CO)n(CC)c3=O)cc12)C(F)(F)F,1225995,1.94
CCn1c(CO)nn(-c2nc3c(C(C)C)nn(-c4ccccc4C)c(=O)c3cc2F)c1=O,1226023,1.97
O=C(Nc1c(F)cc(-c2cccc(OC(F)(F)F)c2)cc1F)c1ccsc1C(=O)O,28080,2.0
O=C(O)c1cc(C2CC2)ccc1Nc1cnc(-c2ccccc2)c(C(F)(F)F)c1,220012,2.0
C=CCn1c(C(=O)O)nn(-c2cc(OC(C)C(F)(F)F)c(C(=O)Nc3c(F)cccc3Cl)cc2F)c1=O,1098841,2.0
CCCC(C)Oc1cc(-n2nc3n(c2=O)CCCC3)c(F)cc1C(=O)Nc1c(F)cccc1F,1020374,2.0
Cc1ccnc(Cl)c1-n1cc(C(C)C)c2cc(-c3cn(C)c(C(C)(C)O)n3)c(F)cc2c1=O,1121380,2.0
CCCC(C)Oc1cc(-n2nc3n(c2=O)CCCC3)c(F)cc1C(=O)Nc1c(C)cccc1F,1020407,2.0
Cc1cccc(F)c1NC(=O)c1cc(F)c(-n2nc3n(c2=O)CCCC3)cc1OC(C)C1CCCCC1,1020540,2.0
Cc1cc(N)cnc1NC(=O)c1cc(F)c(-n2nc3n(c2=O)CCCC3)cc1OC(C)C1CCCCC1,1020533,2.0
Cc1cccc(F)c1NC(=O)c1cc(F)c(-n2nc3n(c2=O)CCCC3)cc1OC(C)C(F)(F)F,1020454,2.0
CCc1cccc(Cl)c1NC(=O)c1cc(F)c(-n2nc3n(c2=O)CCCC3)cc1OC(C)C(F)(F)F,1020442,2.0
C=C(C)c1cn(-c2c(C)cnc(OC)c2C)c(=O)c2cc(F)c(-n3nc(CO)n(CC)c3=O)cc12,1226060,2.02
CCn1c(CO)nn(-c2cc3c(C(C)C)cn(C4CCCCC4)c(=O)c3cc2F)c1=O,1226096,2.07
CCn1c(CO)nn(-c2cc3c(C(C)C)cn(-c4cc(OC)ncc4C)c(=O)c3cc2F)c1=O,1226102,2.1
Cc1n[nH]c(Cl)c1-c1cc(C(C)C)c2cc(-c3nc(C(C)(C)O)n(C)n3)c(F)cn2c1=O,1121401,2.1
Cc1ccccc1-c1cc(C(C)C)c2cc(-c3cn(C)c(C(C)(C)O)n3)c(F)cn2c1=O,1121398,2.11
CCn1c(CO)nn(-c2cc3c(C(C)C)cn(-c4cc(F)ccc4F)c(=O)c3cc2F)c1=O,1226057,2.2
C=C(C)c1cn(-c2cc(OC)ccc2F)c(=O)c2cc(F)c(-n3nc(CO)n(CC)c3=O)cc12,1226033,2.22
C=C(C)c1cn(-c2c(C)ccnc2OC)c(=O)c2cc(F)c(-n3nc(CO)n(CC)c3=O)cc12,1226048,2.23
